dt,LandAverageTemperature
1900-01-01,8.51
1900-02-01,9.35
1900-03-01,9.62
1900-04-01,10.39
1900-05-01,8.45
1900-06-01,10.52
1900-07-01,9.38
1900-08-01,8.75
1900-09-01,9.62
1900-10-01,10.87
1900-11-01,10.48
1900-12-01,11.6
1901-01-01,8.11
1901-02-01,10.99
1901-03-01,9.18
1901-04-01,9.28
1901-05-01,9.92
1901-06-01,8.5
1901-07-01,11.62
1901-08-01,10.97
1901-09-01,8.85
1901-10-01,10.95
1901-11-01,11.27
1901-12-01,10.81
1902-01-01,11.67
1902-02-01,8.61
1902-03-01,9.58
1902-04-01,9.68
1902-05-01,9.31
1902-06-01,10.63
1902-07-01,9.03
1902-08-01,8.87
1902-09-01,9.18
1902-10-01,11.9
1902-11-01,11.83
1902-12-01,9.6
1903-01-01,10.79
1903-02-01,9.24
1903-03-01,9.94
1903-04-01,11.2
1903-05-01,8.61
1903-06-01,10.97
1903-07-01,10.23
1903-08-01,11.75
1903-09-01,9.01
1903-10-01,9.07
1903-11-01,9.2
1903-12-01,8.46
1904-01-01,8.35
1904-02-01,11.12
1904-03-01,11.3
1904-04-01,9.34
1904-05-01,8.45
1904-06-01,9.78
1904-07-01,11.8
1904-08-01,10.71
1904-09-01,8.27
1904-10-01,11.44
1904-11-01,9.0
1904-12-01,9.52
1905-01-01,11.44
1905-02-01,8.15
1905-03-01,11.78
1905-04-01,8.96
1905-05-01,11.47
1905-06-01,11.91
1905-07-01,8.85
1905-08-01,10.23
1905-09-01,9.79
1905-10-01,11.89
1905-11-01,9.97
1905-12-01,9.28
